No,Player,Country,Age,Height,Pos,Games,Minutes,Points,2FG,3FG,FT,Ribounds,Assists,Steals,Turnovers,Blocks,Fouls,PIR,,
1,"Thomson, Jason",USA,31,2.11,C,10,16:56,4.5,47.5%,,70.0%,4.7,1.0,0.4,1.1,1.0,3.4,6.1,,PIR: Player Index Rating
4,"Melli, Nicolo",Italy,26,2.05,F,10,26:00,7.8,55.0%,38.9%,81.3%,4.9,1.5,0.5,1.1,0.6,2.5,10.2,,
5,"Hersek, Baris",Turkey,29,2.08,F,0,00:00,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
10,"Mahmutoglu, Melih",Turkey,27,1.91,G,7,04:39,0.3,25.0%,0.0%,,0.1,0.4,0.3,0.0,0.0,0.9,-1.3,,
11,"Wanamaker, Brad",USA,28,1.93,G,10,32:02,12.8,41.7%,33.3%,75.0%,3.6,4.8,1.2,1.7,0.2,2.7,14.3,,
16,"Sloukas, Kostas",Greece,27,1.90,G,9,29:18,11.7,51.0%,40.0%,100.0%,2.9,6.2,0.6,2.4,0.1,1.3,15.7,,
18,"Arna, Egehan",Turkey,20,2.03,F,0,00:00,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21,"Nunnally, James",USA,27,2.01,F,10,23:00,11.0,62.1%,61.8%,84.6%,2.3,1.1,0.8,1.0,0.1,1.7,11.0,,
23,"Guduric, Marko",Serbia,22,1.96,G,10,14:36,4.5,63.6%,29.4%,66.7%,1.1,1.6,0.8,1.6,0.0,1.7,3.8,,
24,"Vesely, Jan",Czechia,27,2.13,C,10,29:45,13.8,65.1%,,70.3%,4.4,1.7,1.0,1.5,0.9,3.3,16.9,,
32,"Guler, Sinan",Turkey,34,1.92,G,2,04:02,1.5,,100.0%,,0.0,0.0,0.0,0.5,0.0,1.0,0.0,,
33,"Kalinic, Nikola",Serbia,26,2.02,F,0,00:00,0.0,0.0%,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
35,"Dixon, Bobby",Turkey,34,1.78,G,2,06:07,2.5,33.3%,50.0%,,1.0,0.5,0.0,0.0,0.0,0.0,2.0,,
44,"Duverioglu, Ahmet",Turkey,24,2.09,C,6,08:34,2.3,70.0%,,0.0%,1.0,0.7,0.3,0.2,0.2,1.3,2.7,,
70,"Datome, Luigi",Italy,30,2.03,F,10,28:20,12.6,58.7%,48.8%,92.3%,3.7,1.6,0.1,1.7,0.8,1.7,12.7,,
,,,,,,,,,,,,,,,,,,,,
,Total Players: 15,,27.5,2.00,,10,,85.3,40.9%,33.5%,53.4%,29.7,21.1,6.0,12.8,3.9,21.5,94.1,,
